subtype,source,n_targets
basal,itgav,3
basal,abcc10,2
basal,ackr3,2
basal,col6a3,2
basal,foxp1,2
basal,map2,2
basal,mmp11,2
basal,rad51,2
basal,sf3b1,2
basal,zfp36l1,2
basal,adgra2,1
basal,akap9,1
basal,ar,1
basal,arid1a,1
basal,arid5b,1
basal,bmf,1
basal,casp8,1
basal,cdkn1b,1
basal,dab2,1
basal,eif4e,1
basal,foxo3,1
basal,gsk3b,1
basal,heyl,1
basal,hsd17b6,1
basal,jag1,1
basal,kdm3a,1
basal,mapk9,1
basal,mmp15,1
basal,mmp3,1
basal,mmp7,1
basal,ncoa2,1
basal,ncstn,1
basal,nrarp,1
basal,plagl1,1
basal,pms2,1
basal,ptprd,1
basal,rad51c,1
basal,rbl2,1
basal,sdc4,1
basal,serpini1,1
basal,slc19a1,1
basal,smad7,1
basal,src,1
basal,stat3,1
basal,tgfb3,1
basal,utrn,1
her2,gdf11,2
her2,map4,2
her2,smad4,2
her2,acvr1,1
her2,acvr2b,1
her2,acvrl1,1
her2,adam10,1
her2,adam17,1
her2,akt1s1,1
her2,arid1a,1
her2,asxl2,1
her2,casp9,1
her2,ccnd1,1
her2,cdkn1a,1
her2,csf1r,1
her2,ctnna1,1
her2,dph1,1
her2,e2f3,1
her2,eif4e,1
her2,epcam,1
her2,fgf1,1
her2,foxp1,1
her2,gata3,1
her2,hdac2,1
her2,hey1,1
her2,hras,1
her2,hsd17b10,1
her2,hsd17b6,1
her2,jag1,1
her2,jak1,1
her2,kdr,1
her2,maml3,1
her2,map2k1,1
her2,map3k5,1
her2,mapk9,1
her2,mmp13,1
her2,ncor1,1
her2,pbrm1,1
her2,pdgfa,1
her2,pdgfrb,1
her2,peg3,1
her2,plagl1,1
her2,ppp2cb,1
her2,prkcq,1
her2,ptprm,1
her2,rab25,1
her2,rad51c,1
her2,sdc4,1
her2,shank2,1
her2,smad1,1
her2,smad7,1
her2,smarcd1,1
her2,spen,1
her2,src,1
her2,st7,1
her2,stat3,1
her2,tgfbr3,1
her2,tnk2,1
her2,zfp36l1,1
luma,ncoa3,5
luma,akt1s1,3
luma,eif5a2,3
luma,tnk2,3
luma,adam10,2
luma,arid5b,2
luma,casp8,2
luma,ccnd1,2
luma,cdk6,2
luma,chd1,2
luma,col12a1,2
luma,fam20c,2
luma,igf1,2
luma,jak2,2
luma,map2k4,2
luma,map3k3,2
luma,map4,2
luma,mmp3,2
luma,nr2f1,2
luma,nras,2
luma,nt5e,2
luma,pdgfrb,2
luma,plagl1,2
luma,rab25,2
luma,rad51,2
luma,rad51c,2
luma,syne1,2
luma,wfdc2,2
luma,abcc1,1
luma,abcc10,1
luma,ackr3,1
luma,acvr1,1
luma,acvr1b,1
luma,acvr2a,1
luma,acvrl1,1
luma,afdn,1
luma,akr1c4,1
luma,akt1,1
luma,asxl1,1
luma,asxl2,1
luma,birc6,1
luma,bmp4,1
luma,bmp7,1
luma,ccne1,1
luma,ctnna1,1
luma,cyp11a1,1
luma,cyp21a2,1
luma,dab2,1
luma,dll1,1
luma,e2f3,1
luma,erbb2,1
luma,fbxw7,1
luma,fgf1,1
luma,fn1,1
luma,foxo3,1
luma,gata3,1
luma,gldc,1
luma,gsk3b,1
luma,hdac1,1
luma,hdac2,1
luma,hsd17b10,1
luma,hsd17b7,1
luma,kdm6a,1
luma,klrg1,1
luma,lifr,1
luma,maml1,1
luma,map2k1,1
luma,map2k2,1
luma,map3k1,1
luma,mapk1,1
luma,mapk14,1
luma,mapk3,1
luma,mapk6,1
luma,mapk9,1
luma,men1,1
luma,mmp1,1
luma,mmp15,1
luma,mtor,1
luma,myc,1
luma,ncoa2,1
luma,ncor1,1
luma,ncor2,1
luma,ncstn,1
luma,nfkb1,1
luma,nfkb2,1
luma,notch1,1
luma,notch2,1
luma,notch3,1
luma,pik3r3,1
luma,pms2,1
luma,ptpn22,1
luma,ptprm,1
luma,raf1,1
luma,rbl2,1
luma,rbpj,1
luma,runx1,1
luma,sdc4,1
luma,setd2,1
luma,slc19a1,1
luma,smad1,1
luma,smad4,1
luma,smad7,1
luma,smarcd1,1
luma,sox9,1
luma,src,1
luma,srd5a1,1
luma,st7,1
luma,stat3,1
luma,stmn2,1
luma,tbl1xr1,1
luma,tgfb3,1
luma,tgfbr3,1
luma,thada,1
luma,ubr5,1
luma,utrn,1
luma,zfp36l1,1
lumb,foxo3,2
lumb,itgav,2
lumb,men1,2
lumb,ncstn,2
lumb,nras,2
lumb,pik3r1,2
lumb,ptprm,2
lumb,slc19a1,2
lumb,thsd7a,2
lumb,tnk2,2
lumb,abcc1,1
lumb,acvr1b,1
lumb,adam10,1
lumb,adgra2,1
lumb,akap9,1
lumb,ar,1
lumb,arid5b,1
lumb,asxl2,1
lumb,bche,1
lumb,bcl2l1,1
lumb,bmp5,1
lumb,casp8,1
lumb,cbfb,1
lumb,ccnd1,1
lumb,cdh1,1
lumb,cdk6,1
lumb,cdkn1a,1
lumb,chd1,1
lumb,dab2,1
lumb,dlec1,1
lumb,dll1,1
lumb,e2f4,1
lumb,epcam,1
lumb,erbb3,1
lumb,erbb4,1
lumb,fancd2,1
lumb,gata3,1
lumb,hdac9,1
lumb,herc2,1
lumb,hey2,1
lumb,kdm3a,1
lumb,kdm5a,1
lumb,kdm6a,1
lumb,maml1,1
lumb,map2k1,1
lumb,map2k4,1
lumb,map3k3,1
lumb,mapk1,1
lumb,mapk14,1
lumb,mapk6,1
lumb,mmp19,1
lumb,ncor2,1
lumb,nf2,1
lumb,notch1,1
lumb,notch3,1
lumb,pdgfra,1
lumb,plagl1,1
lumb,prkcq,1
lumb,prkg1,1
lumb,rad51c,1
lumb,rbl2,1
lumb,rpgr,1
lumb,runx1,1
lumb,sdc4,1
lumb,sf3b1,1
lumb,smarcd1,1
lumb,src,1
lumb,st7,1
lumb,syne1,1
lumb,taf1,1
lumb,vegfa,1
